fips_state_code,state_name,fips_county_code,county_name
,,000,Henagar city
,,000,Highland Lake town
,,000,Hillsboro town
,,000,Hobson City town
,,000,Hodges town
,,000,Hokes Bluff city
,,000,Holly Pond town
,,000,Hollywood town
,,000,Homewood city
,,000,Hoover city
,,000,Horn Hill town
,,000,Hueytown city
,,000,Huntsville city
,,000,Hurtsboro town
,,000,Hytop town
,,000,Ider town
,,000,Indian Springs Village city
,,000,Irondale city
,,000,Jackson city
,,000,Jacksons' Gap town
,,000,Jacksonville city
,,000,Jasper city
,,000,Jemison city
,,000,Kansas town
,,000,Kellyton town
,,000,Kennedy town
,,000,Killen town
,,000,Kimberly city
,,000,Kinsey town
,,000,Kinston town
,,000,La Fayette city
,,000,Lakeview town
,,000,Lake View town
,,000,Lanett city
,,000,Langston town
,,000,Leeds city
,,000,Leesburg town
,,000,Leighton town
,,000,Lester town
,,000,Level Plains town
,,000,Lexington town
,,000,Libertyville town
,,000,Lincoln city
,,000,Linden city
,,000,Lineville city
,,000,Lipscomb city
,,000,Lisman town
,,000,Littleville town
,,000,Livingston city
,,000,Loachapoka town
,,000,Lockhart town
,,000,Locust Fork town
,,000,Louisville town
,,000,Lowndesboro town
,,000,Loxley town
,,000,Luverne city
,,000,Lynn town
,,000,McIntosh town
,,000,McKenzie town
,,000,McMullen town
,,000,Madison city
,,000,Madrid town
,,000,Magnolia Springs town
,,000,Malvern town
,,000,Maplesville town
,,000,Margaret town
,,000,Marion city
,,000,Maytown town
,,000,Memphis town
,,000,Mentone town
,,000,Midfield city
,,000,Midland City town
,,000,Midway town
,,000,Millbrook city
,,000,Millport town
,,000,Millry town
,,000,Mobile city
,,000,Monroeville city
,,000,Montevallo city
,,000,Montgomery city
,,000,Moody city
,,000,Mooresville town
,,000,Morris town
,,000,Mosses town
,,000,Moulton city
,,000,Moundville town
,,000,Mountain Brook city
,,000,Mount Vernon town
,,000,Mulga town
,,000,Munford town
,,000,Muscle Shoals city
,,000,Myrtlewood town
,,000,Napier Field town
,,000,Natural Bridge town
,,000,Nauvoo town
,,000,Nectar town
,,000,Needham town
,,000,Newbern town
,,000,New Brockton town
,,000,New Hope city
,,000,New Site town
,,000,Newton town
,,000,Newville town
,,000,North Courtland town
,,000,North Johns town
,,000,Northport city
,,000,Notasulga town
,,000,Oak Grove town
,,000,Oak Hill town
,,000,Oakman town
,,000,Odenville town
,,000,Ohatchee town
,,000,Oneonta city
,,000,Onycha town
,,000,Opelika city
,,000,Opp city
,,000,Orange Beach city
,,000,Orrville town
,,000,Owens Cross Roads town
,,000,Oxford city
,,000,Ozark city
,,000,Paint Rock town
,,000,Parrish town
,,000,Pelham city
,,000,Pell City city
,,000,Pennington town
,,000,Perdido Beach town
,,000,Petrey town
,,000,Phenix City city
,,000,Phil Campbell town
,,000,Pickensville town
,,000,Piedmont city
,,000,Pike Road town
,,000,Pinckard town
,,000,Pine Apple town
,,000,Pine Hill town
,,000,Pine Ridge town
,,000,Pinson city
,,000,Pisgah town
,,000,Pleasant Grove city
,,000,Pleasant Groves town
,,000,Pollard town
,,000,Powell town
,,000,Prattville city
,,000,Priceville town
,,000,Prichard city
,,000,Providence town
,,000,Ragland town
,,000,Rainbow City city
,,000,Rainsville city
,,000,Ranburne town
,,000,Red Bay city
,,000,Red Level town
,,000,Reece City town
,,000,Reform town
,,000,Rehobeth town
,,000,Repton town
,,000,Ridgeville town
,,000,River Falls town
,,000,Riverside town
,,000,Riverview town
,,000,Roanoke city
,,000,Robertsdale city
,,000,Rockford town
,,000,Rogersville town
,,000,Rosa town
,,000,Russellville city
,,000,Rutledge town
,,000,St. Florian town
,,000,Samson city
,,000,Sand Rock town
,,000,Sanford town
,,000,Saraland city
,,000,Sardis City town
,,000,Satsuma city
,,000,Scottsboro city
,,000,Section town
,,000,Selma city
,,000,Semmes city
,,000,Sheffield city
,,000,Shiloh town
,,000,Shorter town
,,000,Silas town
,,000,Silverhill town
,,000,Sipsey town
,,000,Skyline town
,,000,Slocomb city
,,000,Smiths Station city
,,000,Snead town
,,000,Somerville town
,,000,Southside city
,,000,South Vinemont town
,,000,Spanish Fort city
,,000,Springville city
,,000,Steele town
,,000,Stevenson city
,,000,Sulligent city
,,000,Sumiton city
,,000,Summerdale town
,,000,Susan Moore town
,,000,Sweet Water town
,,000,Sylacauga city
,,000,Sylvania town
,,000,Sylvan Springs town
,,000,Talladega city
,,000,Talladega Springs town
,,000,Tallassee city
,,000,Tarrant city
,,000,Taylor town
,,000,Thomaston town
,,000,Thomasville city
,,000,Thorsby town
,,000,Town Creek town
,,000,Toxey town
,,000,Trafford town
,,000,Triana town
,,000,Trinity town
,,000,Troy city
,,000,Trussville city
,,000,Tuscaloosa city
,,000,Tuscumbia city
,,000,Tuskegee city
,,000,Twin town
,,000,Union town
,,000,Union Grove town
,,000,Union Springs city
,,000,Uniontown town
,,000,Valley city
,,000,Valley Grande city
,,000,Valley Head town
,,000,Vance town
,,000,Vernon city
,,000,Vestavia Hills city
,,000,Vina town
,,000,Vincent town
,,000,Vredenburgh town
,,000,Wadley town
,,000,Waldo town
,,000,Walnut Grove town
,,000,Warrior city
,,000,Waterloo town
,,000,Waverly town
,,000,Weaver city
,,000,Webb town
,,000,Wedowee town
,,000,West Blocton town
,,000,West Jefferson town
,,000,Westover town
,,000,West Point town
,,000,Wetumpka city
,,000,White Hall town
,,000,Wilsonville town
,,000,Wilton town
,,000,Winfield city
,,000,Woodland town
,,000,Woodstock town
,,000,Woodville town
,,000,Yellow Bluff town
,,000,York city
,,000,Alaska
,,013,Aleutians East Borough
,,016,Aleutians West Census Area
,,020,Anchorage Municipality
,,050,Bethel Census Area
,,060,Bristol Bay Borough
,,068,Denali Borough
,,070,Dillingham Census Area
,,090,Fairbanks North Star Borough
,,100,Haines Borough
,,105,Hoonah-Angoon Census Area
,,110,Juneau City and Borough
,,122,Kenai Peninsula Borough
,,130,Ketchikan Gateway Borough
,,150,Kodiak Island Borough
,,158,Kusilvak Census Area
,,164,Lake and Peninsula Borough
,,170,Matanuska-Susitna Borough
,,180,Nome Census Area
,,185,North Slope Borough
,,188,Northwest Arctic Borough
,,195,Petersburg Borough
,,198,Prince of Wales-Hyder Census Area
,,220,Sitka City and Borough
,,230,Skagway Municipality
,,240,Southeast Fairbanks Census Area
,,261,Valdez-Cordova Census Area
,,275,Wrangell City and Borough
,,282,Yakutat City and Borough
,,290,Yukon-Koyukuk Census Area
,,000,Adak city
,,000,Akhiok city
,,000,Akiak city
,,000,Akutan city
,,000,Alakanuk city
,,000,Aleknagik city
,,000,Allakaket city
,,000,Ambler city
,,000,Anaktuvuk Pass city
,,000,Anchorage municipality
,,000,Anderson city
,,000,Angoon city
,,000,Aniak city
,,000,Anvik city
,,000,Atka city
,,000,Atqasuk city
,,000,Barrow city
,,000,Bethel city
,,000,Bettles city
